"Name","distance_m"
"Otto-Steiner-Schule, privates Förderzentrum geistige Entwicklung",1047.5994284702654
"Grundschule Berg-am-Laim",1049.3306521894028
"Grillviertel",1055.8451606767217
"Städtische Artur-Kutscher-Realschule",1060.317804356236
"Grundschule an der Fröttmaninger Straße",1083.2265422216456
"Sonderpädagogisches Förderzentrum München Nord-Ost (Haus 2)",1089.8608054213914
"Konfuzius-Institut München e.V.",1090.9508375574178
"Albert-Einstein-Gymnasium",1094.6668096186472
"Bayerische Landesschule für Körperbehinderte",1105.5081415534491
"Städtisches Louise-Schroeder-Gymnasium",1105.815115688601
"Städtische Erich-Kästner-Realschule",1108.2634840411067
"Inklusive Monte Balan",1112.0454411387027
"Grundschule am Bauhausplatz",1112.6077672846236
"Gymnasium München/Moosach",1112.6793486475565
"Grundschule am Strehleranger",1122.672834273718
"Grundschule an der Gerastraße",1132.8497893736512
"Lycée Jean Renoir",1134.4623859412488
"Schulzentrum an der Gerastraße",1134.757544068711
"Grundschule an der Pfarrer-Grimm-Straße",1144.8321194138834
"Grund- und Mittelschule an der Lehrer-Wirth-Straße 31",1144.872289785008
"Münchnervolkshochschule MVHS",1145.7363434169547
"Wichern Zentrum",1164.9364849761575
"Grundschule an der Oselstraße",1165.2357873740348
"Grundschule mit Tagesheim Theodor-Heuss-Platz 6",1175.4740914708045
"Gymnasium Neufreimann",1188.892049646912
"Staatliche Fachoberschule und Berufsoberschule für Wirtschaft München Filiale Lipowskystraße 15",1191.377879908779
"Sonderpädagogisches Förderzentrum München Nord",1225.16766483651
"Grundschule an der Ittlingerstraße",1229.8925096849898
"Grundschule an der Waldmeisterstraße",1243.0148232680688
"Förderschule und Heilpädagogische Tagesstätte",1244.6478028072231
"Grundschule an der Eversbuschstraße 182",1245.0509955236157
"SFZ München Nord-West",1259.5340454975096
"neuhof Schulen",1265.944908641598
"Städtische Wilhelm-Busch-Realschule",1295.6705279601008
"Grundschule an der Berner Straße",1300.019875738452
"Manzoschule",1314.160284212783
"Mentor Fortbildungen",1318.0836812861653
"Carl Remigius Medical School",1320.6539417211086
"Samuel-Heinicke-Fachoberschule",1325.2562569344145
"Hochschule Fresenius",1327.7987916562843
"Ludwig Fresenius Schulen",1329.793922575465
"Städtische Berufliche Schulen Orleansstraße 46",1331.6334781338023
"Grundschule an der Manzostraße",1334.18205266294
"Städtisches Berufsschulzentrum an der Orleansstraße",1344.4220994526665
"Montessori-Schule im Olympiapark",1352.8354414370956
"Wilhelm-Röntgen-Realschule München",1360.189643409561
"Grundschule an der Helsinkistraße",1361.862405415382
"Staatliche Fachober- und Berufsoberschule Technik München",1369.998354414495
"Grundschule Kafkastraße 9",1378.3272408913356
"Grundschule am Hedernfeld",1379.1925031294938
"Internationale Montessori-Schule München",1383.426473144156
"MVHS (Volkshochschule München)",1395.8415059848533
"Grundschule an der Weißenseestraße",1400.4806574084355
"Grundschule am Schererplatz",1407.44697141449
"Schulen an der Fernpaßstraße",1410.7398811954617
"Staatliche Berufliche Oberschule für Wirtschaft",1411.6099681871215
"Grund- und Mittelschule an der Fromundstraße 5",1414.1508206032925
"Mittelschule an der Sambergerstraße",1422.6541701812732
"Arrow ECS Trainingszentrum",1424.9145629826348
"Dom-Pedro-Grundschule",1431.77374799915
"Osteopathie Schule Deutschland",1434.9246906297885
"Städtisches Elsa-Brändström-Gymnasium",1436.1724450296974
"Staatliche Dieter-Hildebrandt-Wirtschaftsschule München",1464.7463154112013
"Grundschule an der Sambergerstraße 14",1474.4167021465012
"Grundschule an der Plinganserstraße",1489.7149775607982
"Grundschule an der Plinganserstraße - Außenstelle Meindlstraße",1494.8058134381645
"Grund- und Mittelschule an der Schrobenhausener Straße",1502.9164303409277
"Grundschule an der Theoder-Fischer-Straße",1521.6782231394734
"Mittelschule Zielstattstraße",1532.0340895328943
"Katholische Fachakademie für Sozialpädagogik München",1541.8862832758887
"Grundschule an der Bäckerstraße",1543.0889599632794
"Schulzentrum an der Quiddestraße",1550.168112778968
"Städtische Robert-Bosch-Fachoberschule Wirtschaft",1554.1255531087036
"Städtische Nelson-Mandela-Berufsoberschule Wirtschaft",1556.1671319328912
"Grundschule Stielerstraße 6",1558.4622305358419
"Freie Waldorfschule München Südwest",1560.375740952391
"Grundschule Konrad-Celtis-Straße",1566.4612814770219
"Schulungszentrum McDonald's",1573.4035775417763
"Städtisches Werner-von-Siemens-Gymnasium",1579.703703878122
"Privatgymnasium Dr. Florian Überreiter",1581.9964894003087
"Private Wirtschaftsschule begemann e. V.",1584.759586623754
"Sonderpädagogisches Förderzentrum München-Süd",1593.3511839994624
"Gertrud-Bäumer-Grundschule",1598.1282701857372
"Städtische Anne-Frank-Realschule",1601.6539750437778
"Grundschule an der Helmholtzstraße",1605.375209265398
"Städtische Werner-von-Siemens-Realschule",1608.893302051263
"Lukas-Schule (Grundschule)",1613.4737594417875
"Grund u- Mittelschule Grosshaderner Straße",1621.1729080381683
"Samuel-Heinicke-Realschule und Internat",1627.1842189784186
"Städtische Schulartunabhängige Orientierungsstufe",1638.1642882122037
"Grund- und Mittelschule an der Toni-Pfülf-Straße",1655.281248792125
"Prisma e.V.",1659.9311602481123
"Akademie des Städtischen Klinikums München",1664.793723614546
"Berufsfachschule für Pflegekräfte",1677.5315305079039
"München Klinik Akademie",1683.4085363121503
"Internationale Montessorischule München",1688.9393817736461
"Bazeilles-Grundschule",1690.6390695997961
"Immanuel-Schule",1694.0228338601205
"Mittelschule an der Albert-Schweitzer-Straße",1696.2417071126158
"Mittel- und Förderschule am Gerhart-Hauptmann-Ring",1698.7486034031917
"Grundschule Schwanthalerstraße",1701.1514137372983
"Rabennest",1705.7223070079863
"Blindeninstitut München",1708.7866721361888
"Edith-Stein-Gymnasium",1720.2551272860746
"Georg-Büchner-Realschule",1722.7235129933465
"Grundschule an der Flurstraße",1730.293276984188
"Städtische Adalbert-Stifter-Realschule",1741.1331675467056
"Ernst-Barlach Schulen",1748.422001769906
"Städtische Fridtjof-Nansen-Realschule",1756.0362418382122
"Caritas Don Bosco Schulen für Kinderpflege",1759.5644976599315
"Mittelschule an der Elisabeth-Kohn-Straße 4",1772.509792138211
"Grund- und Mittelschule an der Implerstraße",1787.3145119871635
"Ernst-Reuter Grundschule",1789.440296478248
"Institut für Berufliche Bildung AG",1793.6189205466665
"Luitpold-Gymnasium",1793.6649649864914
"Schule an der Hirschbergstraße",1798.4684221940147
"Grundschule an der Droste-Hülshoff-Straße",1804.4525226111932
"Städtisches Willi-Graf-Gymnasium",1806.7450152998902
"Hotelberufsfachschule Kermess",1807.928102897887
"Berufsbildungszentrum für Farbe und Raumgestaltung",1810.172002717988
"Bavarian International School gAG - City Campus",1813.4012987924436
"Chemieschule Dr. Erwin Elhardt",1817.3185608695928
"FOS Nord",1825.858338459386
"Städtische Fachoberschule für Gestaltung",1831.1904684048025
"Coffe & Art - Die Ermutigungswerkstatt",1839.0306406920035
"Mittelschule München an der Perlacher Straße 114",1853.2153036895577
"Heimerer Schulen",1855.736453701235
"Grundschule mit Tagesheim an der Thelottstraße 20",1862.361642531328
"Willy-Brandt-Gesamtschule",1866.3662948687534
"Grund- und Mittelschule an der Knappertsbuschstraße",1869.0413853181387
"Grundschule an der Bad-Soden-Straße 27",1873.6827047857118
"Theresien-Gymnasium",1876.706730546981
"Kompetenzzentrum für Erziehungsberufe München Mitte",1877.8269030526822
"Grundschule an der Werdenfelsstraße",1878.1474450514825
"Städt. Fachakademie für Sozialpädagogik München Mitte",1878.4007003367867
"Städtische Ricarda-Huch-Realschule, Zweigstelle",1880.7945977399488
"Private Griechische Schulen „Sokrates“ ""ΣΩΚΡΑΤΗΣ""",1883.5369153120796
"Städt. Fachschule für Grundschulkindbetreuung",1912.6191038762486
"Städt. Fachakademie für Heilpädagogik",1913.7017507498301
"Städtisches Sophie-Scholl-Gymnasium",1918.8257944148822
"Städtische Berufsschule für Fertigungstechnik",1921.6680691065897
"Wilhelm-Hausenstein-Gymnasium",1924.3760719102202
"Parzivâl-Schule",1924.7209484881776
"Grund- und Mittelschule an der Torquato-Tasso-Straße",1927.0852574380294
"Mittelschule Wörthstraße",1935.3704877542812
"Berufliches Schulzentrum an der Deroystraße",1948.3944664119258
"Grund- u. Mittelschule Guardinistraße",1953.0005114698447
"Städtische Berufsschule für Metall-Design-Mechatronik",1959.6572602032347
"Berufliches Schulzentrum Alois Senefelder",1974.605999142364
"ESM Grundschule",1975.1251728934883
"Wittelsbacher-Gymnasium",1991.6661689512196
"Private Realschule Gut Warnberg",1993.8039085930777
"Studienseminar Albertinum",1996.790957289662
"Grundschule am Bayernplatz",1998.8101332590263
"Gymnasium Trudering",1999.2068198118955
"Lycée Français Jean Renoir",1999.4331387775132
"Dante-Gymnasium München",2001.3978203593952
"Klenze-Gymnasium München",2005.5087636806131
"Mittelschule an der Cincinnatistraße 63",2005.565530565302
"Grund- und Mittelschule am Winthirplatz 6",2006.1013704530171
"Münchenkolleg, Gymnasium des Zweiten Bildungsweges",2015.2424803077463
"Helene Habermann Gymnasium",2020.5666842147184
"Abendgymnasium",2023.562408799129
"Städtische Rainer-Werner-Fassbinder-Fachoberschule für Sozialwesen",2024.002338230936
"Städtisches Lion-Feuchtwanger-Gymnasium",2025.6026146024592
"Sozialpädagogische Schulen",2026.5736678311964
"Städtische Berufsschule für das Hotel, Gaststätten- und Braugewerbe",2028.64718832331
"Grundschule an der Südlichen Auffahrtsallee",2029.0246045314504
"Sonderpädagogisches Förderzentrum München-Mitte 2 Filiale Kirchenstr. 13",2036.351366107766
"Marieluise-Fleißer-Realschule",2041.5444254092677
"Pflegeschule der Schwesternschaft vom BRK",2041.6204700894034
"Grundschule an der Grandlstraße",2044.492990188423
"Schkola Nr.1",2044.9402263176046
"Grundschule an der Balanstraße 153",2044.9426669124525
"Gut Warnberg Schulgelände",2052.394583663357
"Sabel",2053.464206060852
"Stiftung ICP München",2057.879498900421
"Deutschinstitut Integra",2065.9950157573458
"Erzbischöfliches Maria-Ward-Gymnasium Nymphenburg",2067.135445690567
"Erasmus-Grasser-Gymnasium",2075.2901304604575
"Grundschule an der Kirchenstraße",2077.3471349399024
"Städtische Maria-Probst-Realschule",2079.5266039335525
"Erzbischöfliche Maria-Ward-Realschule Nymphenburg",2081.5235321137384
"Städt. Berufsschule für Augenoptik",2086.4298282804584
"Grundschule Feldmochinger Straße 251",2086.463966032687
"Städt. Bildungszentrum für Augenoptik und Optometrie",2090.2361491576917
"Berufsschule zur Berufsintegration",2101.7942736796003
"Max-Planck-Gymnasium",2106.976136497459
"Grundschule am Gotzinger Platz",2108.13345082634
"Städt. Fachschule für Augenoptik",2109.311903589213
"Mittelschule am Gotzinger Platz 1",2112.189895315894
"Sabel GBS Fachschulen",2113.153004375339
"Grundschule Maria-Ward-Straße",2120.515170585156
"Asam-Gymnasium",2123.08649927126
"Grundschule Blumenau",2124.965736115931
"Grund- und Mittelschule an der Stuntzstraße 55",2131.177365767013
"Hablas Español",2133.090624415186
"Städtische Berufsschulen Balanstraße 208",2133.297409583308
"Stiftung Journalistenakademie Dr. Hooffacker GmbH & Co. KG",2133.604296732923
"Mittelschule Blumenau",2139.1784383421223
"Grundschule am Hildegard-von-Bingen-Anger",2164.7770703516608
"Staatliche Grundschule Markgrafenstraße",2169.047142112158
"Städtische Balthasar-Neumann Realschule",2175.2939649565033
"Japanische Internationale Schule München",2182.323327181763
"Grundschule Max-Kolmsperger-Straße 6",2184.883994743901
"Grundschule an der Blutenburgstraße",2186.8127382980374
"Grundschule an der Oberföhringer Straße",2191.215794424321
"Grundschule Tumblingerstrasse",2198.006718241796
"Grundschule an der Gilmstraße",2232.633404428946
"Förderschule an der Gilmstraße",2233.5696698575625
"Ludwigsgymnasium",2236.0633932347987
"Maria-Theresia-Gymnasium",2236.1204946251546
"Städtische Rudolf-Diesel-Realschule",2243.4546222843082
"Grundschule an der Infanteriestraße 25",2250.5815384267025
"Mittelschule Ichostraße 2",2251.974462327034
"Grundschule und Tagesstätte Ichostraße 2",2256.6978782290244
"Grundschule an der Ruth-Drexel-Straße",2262.747437363184
"Grundschule an der Farinellistraße",2263.1029843226306
"Grundschule an der Gilmstraße 46 & Sonderpädagogisches Förderzentrum München Mitte 3 — am Westpark",2268.9617480100346
"Grundschule am Karl-Marx-Ring",2273.4387880737004
"Käthe-Kollwitz-Gymnasium",2280.8260172208065
"Grund- und Mittelschule an der Weilerstraße",2284.179090633247
"Agilolfingerschule",2287.755104233664
"Grundschule an der Hugo-Wolf-Straße",2289.0218544381096
"Städtische Franz-Auweck-Abendschule",2297.158277176001
"Rothpletzschule",2301.1141650518766
"Städtische Hermann-Frieb-Realschule",2307.7440124727996
"Städtisches Adolf-Weber-Gymnasium",2321.663158628473
"Obermenzinger Gymnasium",2332.328861187909
"Schule an der Fürstenrieder Straße",2345.623874186697
"Carl Duisberg Centrum München",2351.0264148109495
"Grundschule am Mariahilfplatz",2352.03107545816
"Städtischen Rudolf-Diesel-Realschule München",2352.1903271256315
"Schulverbund München",2364.2245195369583
"Grundschule an der Hermine-von-Parish-Straße",2379.9842766449124
"Rupprecht-Gymnasium",2386.1752903304537
"Grundschule - Tagesheim - Kindertagesstätte An der St.-Martin-Straße 30",2400.0587298884034
"Grund- und Mittelschule an der Alfonsstraße",2414.836905993967
"Grund- und Mittelschule an der Hochstraße",2415.257284243065
"Gymnasium Max-Josef-Stift",2434.2219082295755
"deutschakademie",2434.309378644152
"Münchner Schmink und Kosmetikschule",2436.5532922221882
"Lukas-Realschule",2442.9870330303706
"Grundschule Gänselieselstraße 33",2457.2019111505997
"Staatliche Berufsfachschule für Logopädie am Klinikum der Universität München",2466.945138866194
"Silvia-Görres-Schule",2474.9959236185427
"IFP Institut zur Förderung publizistischen Nachwuchses",2483.841082095305
"Studienkolleg München",2487.6607509557343
"Grund- und Mittelschule an der Rockefellerstraße 11",2528.1670147103487
"Städtisches Luisengymnasium",2528.452766638381
"Simmernschule",2528.464928287705
"Kirchl. Fachakademie für Hauswirtschaft",2529.697931743832
"Theresia-Gerhardinger- Mädchenrealschule",2542.3169807430463
"Städtische Fachschule für Bautechnik München",2543.0513412206788
"Grundschule an der Regina-Ullmann-Straße 6",2545.2719447722075
"Förderzentrum Förderschwerpunkt Hören",2549.797603536518
"Gymnasium München-Nord",2550.3165621462617
"inlingua Berufsfachschule für Fremdsprachenberufe",2567.2032583903165
"Kirchl. Fachakademie für Sozialpädagogik",2578.9884865686618
"Grundschule an der Menaristraße",2622.7880661439053
"Grundschule an der Turnerstraße",2632.1261416443263
"Evangelisches Bildungszentrum",2641.777780731319
"Städtisches Berufsschulzentrum für das Bau- und Kunsthandwerk München",2647.335894887305
"Grundschule an der Haimhauserstraße",2659.8425129755087
"Maximiliansgymnasium",2698.3661183029285
"Isabella Atelier",2721.3339188246255
"Lehrinstitut Bauer",2725.708706172822
"Städtische Berufsschule für Lagerlogistik, Groß- und Außenhandel",2726.4741128991964
"Oskar-von-Miller-Gymnasium",2728.9875546026433
"Innung der Friseure München",2743.9751980736132
"Grundschule Von-der-Pfordten-Straße (ehemals Camerloher Straße)",2763.0507991057
"Staatliches Pestalozzi-Gymnasium",2776.0207927864967
"Städtische Berufsschule für Spedition und Touristik",2786.471332949848
"Städtische Anita-Augspurg-Berufsoberschule für Sozialwesen",2821.9883719169734
"Grundschule mit Tagesheim an der Margarethe-Danzi-Straße 17",2852.7044251058815
"Städtische Salvator-Realschule",2857.600740646975
"Nähclub München",2881.625440840953
"Grundschule an der Gebelestraße",2895.2911705404863
"Staatliches Wilhelmsgymnasium",2936.6464076202465
"Städtische Berufsschule für Kfz-Technik",2949.6134791255135
"Berufliches Schulzentrum",2954.1630266644515
"Wittelsbacher Mittelschule",2968.7907354540666
"Grundschule an der Schwindstraße",2970.8973384529468
"Städtische Fachschule für Fahrzeugtechnik und Elektromobilität München",2972.156979030731
"Wilhelm-Grundschule",2981.9904027897605
"Sonderpädagogisches Förderzentrum München Mitte 1",2989.4974720348696
"Städtische Ricarda-Huch-Realschule, Grundschule, Kindertagestätte",2997.4843836493924
"Grundschule Dachauer Straße",2999.236635826351
"Gisela-Gymnasium",3007.0506795398887
"Prof.-Otto-Speck-Schule",3012.789691273683
"Grundschule an der Klenzestraße",3016.4655974159296
"Theresia-Gerhardinger-Gymnasium am Anger",3029.988791056941
"Theresia-Gerhardinger-Grundschule am Anger",3080.8820896968623
"Bilinguales Gymnasium Phorms",3187.9781565915014
"Otto-Falckenberg-Schule",3196.712587428017
"Bilinguale Grundschule Phorms",3230.7141024584457
"Sankt-Anna-Gymnasium",3232.4847936444417
"Mathilde-Eller-Schule / Heilpädagogische Tagesstätte Klenzestraße",3243.247700602319
"Sankt-Anna-Grundschule",3263.670849332304
"Förderschule an der Herrnstraße",3266.964603150342
"Grundschule an der Herrnstraße",3269.934086870286
"Staatliches Luitpold-Gymnasium",3284.270869399992
"Städtische Riemerschmid Wirtschaftsschule München",3303.0158580028065
"EAM School of International Business",3307.47151929729
"Grundschule am Gärtnerplatz",3309.1661357829444
"Städtische Berufsschule zur Berufsvorbereitung",3312.822918936421
"Galli",3624.500378737275
"Städtische Helen-Keller-Realschule",3662.960701787904
"Grundschule und Städtischer Hort an der Türkenstraße 68",3710.5210364447544
"Grundschule an der Türkenstraße",3717.9282934660273
